"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NO1","02.03.2025 00:00 - 02.03.2025 01:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1412","780","n/e","n/e","n/e","n/e","0","6","n/e","334"
"BZN|NO1","02.03.2025 01:00 - 02.03.2025 02:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1399","814","n/e","n/e","n/e","n/e","0","5","n/e","316"
"BZN|NO1","02.03.2025 02:00 - 02.03.2025 03:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1369","789","n/e","n/e","n/e","n/e","0","5","n/e","309"
"BZN|NO1","02.03.2025 03:00 - 02.03.2025 04:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1372","801","n/e","n/e","n/e","n/e","0","5","n/e","352"
"BZN|NO1","02.03.2025 04:00 - 02.03.2025 05:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1368","779","n/e","n/e","n/e","n/e","0","4","n/e","356"
"BZN|NO1","02.03.2025 05:00 - 02.03.2025 06:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1363","865","n/e","n/e","n/e","n/e","0","4","n/e","356"
"BZN|NO1","02.03.2025 06:00 - 02.03.2025 07:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1370","870","n/e","n/e","n/e","n/e","0","6","n/e","358"
"BZN|NO1","02.03.2025 07:00 - 02.03.2025 08:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1372","880","n/e","n/e","n/e","n/e","0","6","n/e","360"
"BZN|NO1","02.03.2025 08:00 - 02.03.2025 09:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1370","904","n/e","n/e","n/e","n/e","1","6","n/e","352"
"BZN|NO1","02.03.2025 09:00 - 02.03.2025 10:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1362","942","n/e","n/e","n/e","n/e","3","6","n/e","342"
"BZN|NO1","02.03.2025 10:00 - 02.03.2025 11:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1366","892","n/e","n/e","n/e","n/e","4","7","n/e","323"
"BZN|NO1","02.03.2025 11:00 - 02.03.2025 12:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1362","786","n/e","n/e","n/e","n/e","4","7","n/e","315"
"BZN|NO1","02.03.2025 12:00 - 02.03.2025 13:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1355","718","n/e","n/e","n/e","n/e","4","7","n/e","298"
"BZN|NO1","02.03.2025 13:00 - 02.03.2025 14:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1350","698","n/e","n/e","n/e","n/e","3","7","n/e","306"
"BZN|NO1","02.03.2025 14:00 - 02.03.2025 15:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1347","787","n/e","n/e","n/e","n/e","3","6","n/e","304"
"BZN|NO1","02.03.2025 15:00 - 02.03.2025 16:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1352","908","n/e","n/e","n/e","n/e","2","6","n/e","313"
"BZN|NO1","02.03.2025 16:00 - 02.03.2025 17:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1366","946","n/e","n/e","n/e","n/e","1","6","n/e","332"
"BZN|NO1","02.03.2025 17:00 - 02.03.2025 18:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1359","980","n/e","n/e","n/e","n/e","0","6","n/e","329"
"BZN|NO1","02.03.2025 18:00 - 02.03.2025 19:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1353","923","n/e","n/e","n/e","n/e","0","6","n/e","330"
"BZN|NO1","02.03.2025 19:00 - 02.03.2025 20:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1350","840","n/e","n/e","n/e","n/e","0","7","n/e","332"
"BZN|NO1","02.03.2025 20:00 - 02.03.2025 21:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1352","932","n/e","n/e","n/e","n/e","0","6","n/e","319"
"BZN|NO1","02.03.2025 21:00 - 02.03.2025 22:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1350","939","n/e","n/e","n/e","n/e","0","7","n/e","264"
"BZN|NO1","02.03.2025 22:00 - 02.03.2025 23:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1350","846","n/e","n/e","n/e","n/e","0","7","n/e","269"
"BZN|NO1","02.03.2025 23:00 - 03.03.2025 00:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1356","955","n/e","n/e","n/e","n/e","0","6","n/e","311"
