"Time (CET/CEST)","BZN|NO1A > BZN|NO1 [MW]","BZN|NO1 > BZN|NO1A [MW]"
"02.03.2025 00:00 - 02.03.2025 01:00","n/e","n/e"
"02.03.2025 01:00 - 02.03.2025 02:00","n/e","n/e"
"02.03.2025 02:00 - 02.03.2025 03:00","n/e","n/e"
"02.03.2025 03:00 - 02.03.2025 04:00","n/e","n/e"
"02.03.2025 04:00 - 02.03.2025 05:00","n/e","n/e"
"02.03.2025 05:00 - 02.03.2025 06:00","n/e","n/e"
"02.03.2025 06:00 - 02.03.2025 07:00","n/e","n/e"
"02.03.2025 07:00 - 02.03.2025 08:00","n/e","n/e"
"02.03.2025 08:00 - 02.03.2025 09:00","n/e","n/e"
"02.03.2025 09:00 - 02.03.2025 10:00","n/e","n/e"
"02.03.2025 10:00 - 02.03.2025 11:00","n/e","n/e"
"02.03.2025 11:00 - 02.03.2025 12:00","n/e","n/e"
"02.03.2025 12:00 - 02.03.2025 13:00","n/e","n/e"
"02.03.2025 13:00 - 02.03.2025 14:00","n/e","n/e"
"02.03.2025 14:00 - 02.03.2025 15:00","n/e","n/e"
"02.03.2025 15:00 - 02.03.2025 16:00","n/e","n/e"
"02.03.2025 16:00 - 02.03.2025 17:00","n/e","n/e"
"02.03.2025 17:00 - 02.03.2025 18:00","n/e","n/e"
"02.03.2025 18:00 - 02.03.2025 19:00","n/e","n/e"
"02.03.2025 19:00 - 02.03.2025 20:00","n/e","n/e"
"02.03.2025 20:00 - 02.03.2025 21:00","n/e","n/e"
"02.03.2025 21:00 - 02.03.2025 22:00","n/e","n/e"
"02.03.2025 22:00 - 02.03.2025 23:00","n/e","n/e"
"02.03.2025 23:00 - 03.03.2025 00:00","n/e","n/e"
